form_field_id,form_id,field_id,field_number,field_part,page_number,parent_form_field,min_occurs,max_occurs,required,changed_by,date_changed,creator,date_created,sort_weight,uuid
339,15,183,41,NULL,5,375,NULL,NULL,0,1,'2005-08-0819:19:00',1,'2005-08-0600:00:00',2360.00000,'c0693a2c-1691-11df-97a5-7038c432aabf'

340,15,184,41,NULL,5,375,NULL,NULL,0,1,'2005-08-0811:48:00',1,'2005-08-0600:00:00',2370.00000,'c0693b4b-1691-11df-97a5-7038c432aabf'

341,15,186,41,NULL,5,375,NULL,NULL,0,1,'2005-08-0811:47:00',1,'2005-08-0600:00:00',2340.00000,'c0693c69-1691-11df-97a5-7038c432aabf'

342,15,187,41,NULL,5,375,NULL,NULL,0,1,'2005-08-0811:49:00',1,'2005-08-0600:00:00',2380.00000,'c069ad5c-1691-11df-97a5-7038c432aabf'

343,15,188,41,NULL,5,375,NULL,NULL,0,1,'2005-08-0811:48:00',1,'2005-08-0600:00:00',2350.00000,'c069b134-1691-11df-97a5-7038c432aabf'

344,15,191,41,NULL,5,375,NULL,NULL,0,1,'2005-08-0811:50:00',1,'2005-08-0600:00:00',2410.00000,'c069b274-1691-11df-97a5-7038c432aabf'

346,15,189,41,NULL,5,375,NULL,NULL,0,1,'2005-08-0811:49:00',1,'2005-08-0600:00:00',2400.00000,'c069c207-1691-11df-97a5-7038c432aabf'

347,15,192,41,NULL,5,375,NULL,NULL,0,1,'2005-08-0811:50:00',1,'2005-08-0600:00:00',2420.00000,'c069c3d0-1691-11df-97a5-7038c432aabf'

348,15,193,41,NULL,5,375,NULL,NULL,0,1,'2005-08-0811:49:00',1,'2005-08-0600:00:00',2390.00000,'c069c578-1691-11df-97a5-7038c432aabf'

349,15,194,41,NULL,5,375,NULL,NULL,0,1,'2005-08-0811:50:00',1,'2005-08-0600:00:00',2430.00000,'c069c728-1691-11df-97a5-7038c432aabf'

350,15,196,45,NULL,5,376,NULL,NULL,0,1,'2005-08-0811:51:00',1,'2005-08-0600:00:00',2450.00000,'c069d4ce-1691-11df-97a5-7038c432aabf'

351,15,197,47,NULL,5,383,NULL,NULL,0,1,'2005-08-0707:12:00',1,'2005-08-0600:00:00',2460.00000,'c069d676-1691-11df-97a5-7038c432aabf'

352,15,129,2,NULL,NULL,NULL,NULL,NULL,0,1,'2005-08-0807:13:00',1,'2005-08-0600:00:00',950.00000,'c069d99e-1691-11df-97a5-7038c432aabf'

353,15,209,NULL,NULL,NULL,352,NULL,NULL,1,1,'2005-08-0707:04:00',1,'2005-08-0600:00:00',990.00000,'c069e993-1691-11df-97a5-7038c432aabf'

